[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for dexter.s01e04.hdtv.xvid-notv.[VTV].avi in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for dexter.s01e04.hdtv.xvid-notv.[VTV].srt in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for dexter.s01e05.hdtv.xvid-notv.[VTV].avi in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for dexter.s01e05.hdtv.xvid-notv.[VTV].srt in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S01E06.HDTV.XviD-LOL.avi in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S01E06.HDTV.XviD-LOL.srt in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S02E01.PREAIR.DVDRip.XviD-SiTV.avi in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S02E01.PREAIR.DVDRip.XviD-SiTV.srt in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S02E02.PREAIR.DVDRip.XviD-SiTV.avi in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Warning:  filetype(): Lstat failed for Dexter.S02E02.PREAIR.DVDRip.XviD-SiTV.srt in /home/fabex/dev/test/doRename.php on line 31
[Tue Jan 24 00:20:51 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: dir in /home/fabex/dev/test/doRename.php on line 31
